,Unnamed: 0,Gene,variance,SD
1213,1213,ATAD2B,0.220340995,0.469404937
1226,1226,ATF5,0.156265,0.395303681
1242,1242,ATG4A,0.099087669,0.314781938
1260,1260,ATOX1,0.219604844,0.468620149
1265,1265,ATP11A-AS1,0.134356967,0.36654736
1277,1277,ATP1A2,0.112455342,0.335343617
1278,1278,ATP1A3,0.085659513,0.292676464
1295,1295,ATP6AP1,0.159043287,0.398802316
1310,1310,ATP6V1B1,0.092345856,0.30388461
1312,1312,ATP6V1C1,0.088995921,0.298321842
1315,1315,ATP6V1E1,0.161409899,0.401758508
1323,1323,ATP7A,0.174150705,0.417313678
1371,1371,AWAT1,0.085228714,0.291939572
1396,1396,B3GNT5,0.166986007,0.408639214
1404,1404,B4GALNT3,0.089204782,0.298671696
1408,1408,B4GALT2,0.13155307,0.362702453
1410,1410,B4GALT4,0.130668319,0.361480731
1415,1415,B9D2,0.2217515,0.47090498
1427,1427,BAG1,0.158025533,0.397524255
1449,1449,BARD1,0.217344343,0.466202041
1456,1456,BATF,0.178982384,0.423063097
1472,1472,BBS5,0.087501431,0.295806407
1488,1488,BCAT2,0.186899984,0.432319307
1499,1499,BCL2,0.1773731,0.421156859
1501,1501,BCL2L1,0.152483725,0.390491646
1502,1502,BCL2L10,0.205371253,0.453179052
1503,1503,BCL2L11,0.14375007,0.379143864
1512,1512,BCL6B,0.143740128,0.379130754
1552,1552,BEX2,0.094410194,0.307262419
1616,1616,BMP6,0.213183409,0.461717889
1620,1620,BMPER,0.156715161,0.395872657
1621,1621,BMPR1A,0.183009104,0.427795633
1624,1624,BMS1,0.189842732,0.435709458
1626,1626,BMS1P18,0.097902368,0.312893541
1633,1633,BNIP2,0.115151946,0.339340458
1635,1635,BNIP3L,0.08817418,0.296941375
1636,1636,BNIPL,0.1506319,0.388113256
1640,1640,BOD1L2,0.175739255,0.41921266
1642,1642,BOK-AS1,0.130250337,0.360902115
1646,1646,BOLA3,0.113247001,0.336521917
1648,1648,BOLL,0.124914114,0.353431909
1649,1649,BOP1,0.166679709,0.408264264
1660,1660,BPIFB2,0.085728836,0.29279487
1670,1670,BRAF,0.094307654,0.307095514
1678,1678,BRD3,0.206912353,0.454876195
1679,1679,BRD4,0.173509692,0.416544946
1684,1684,BRDT,0.186596262,0.431967895
1686,1686,BRF2,0.156424459,0.395505321
1702,1702,BRSK1,0.208869652,0.457022594
1703,1703,BRSK2,0.15497498,0.393668617
1707,1707,BSCL2,0.104071541,0.32260121
1714,1714,BST1,0.095335656,0.308764726
1715,1715,BST2,0.182548341,0.427256762
1724,1724,BTBD19,0.150376398,0.387783958
1725,1725,BTBD2,0.136620197,0.369621695
1728,1728,BTBD7,0.121023698,0.347884604
1734,1734,BTF3L4,0.12740829,0.356942979
1735,1735,BTF3P11,0.134416806,0.366628975
1752,1752,BTNL8,0.150144047,0.387484254
1766,1766,C10orf120,0.087697054,0.296136884
1774,1774,C10orf82,0.092745468,0.304541405
1799,1799,C11orf96,0.159369022,0.399210499
1812,1812,C12orf73,0.097994173,0.31304021
1824,1824,C15orf40,0.118316319,0.343971393
1840,1840,C16orf92,0.142121237,0.376989704
1846,1846,C17orf50,0.092865318,0.304738114
1851,1851,C17orf78,0.129400307,0.359722542
1857,1857,C18orf25,0.226995089,0.476440016
1871,1871,C19orf54,0.105036833,0.324093864
1872,1872,C19orf67,0.089371826,0.298951211
1899,1899,C1QTNF9B,0.087171329,0.29524791
1905,1905,C1orf105,0.22594974,0.475341709
1910,1910,C1orf122,0.147156999,0.383610478
1951,1951,C21orf91,0.133499546,0.365375897
1959,1959,C2CD2,0.097672316,0.312525704
1960,1960,C2CD2L,0.122339673,0.349770886
1966,1966,C2CD5,0.15700853,0.396243019
1987,1987,C3P1,0.099828687,0.315956781
2012,2012,C4orf36,0.102648078,0.320387388
2026,2026,C5orf46,0.091137875,0.301890501
2029,2029,C5orf51,0.11072743,0.332757315
2036,2036,C6orf118,0.092891304,0.304780747
2041,2041,C6orf15,0.096264814,0.310265716
2054,2054,C7orf31,0.088122543,0.296854414
2066,2066,C8orf48,0.144629053,0.380301266
2071,2071,C8orf86,0.089876437,0.299793991
2078,2078,C9orf152,0.132436096,0.363917705
2083,2083,C9orf43,0.173255841,0.416240124
2085,2085,C9orf50,0.08791744,0.296508752
2087,2087,C9orf64,0.111905364,0.334522592
2095,2095,CA12,0.140228356,0.374470768
2101,2101,CA5A,0.10337845,0.321525193
2120,2120,CABYR,0.090894904,0.301487818
2130,2130,CACNA1C-IT3,0.228319804,0.477828216
2151,2151,CACNG4,0.152225515,0.390160884
2155,2155,CACNG8,0.0893161,0.298857993
2166,2166,CADM4,0.140031522,0.374207859
2174,2174,CALCB,0.135333353,0.367876818
2179,2179,CALD1,0.216639112,0.465445068
2195,2195,CALY,0.126972408,0.356331879
2199,2199,CAMK2A,0.106163722,0.32582775
2203,2203,CAMK2N1,0.14034107,0.374621236
2204,2204,CAMK2N2,0.11415968,0.337875244
2205,2205,CAMK4,0.138779895,0.372531737
2207,2207,CAMKK2,0.127123553,0.3565439
2215,2215,CAMTA1,0.103193792,0.321237906
2216,2216,CAMTA2,0.08980087,0.299667933
2221,2221,CANX,0.191983683,0.438159427
2240,2240,CAPNS2,0.178493728,0.422485181
2242,2242,CAPRIN2,0.095046876,0.308296733
2246,2246,CAPZA1,0.166452123,0.407985444
2261,2261,CARM1,0.154645557,0.393249993
