,Gene,variance,SD
160,ACKR3,0.005542862,0.074450401
161,ACKR4,0.005093845,0.071371178
162,ACLY,0.005539336,0.074426714
163,ACMSD,0.003874741,0.06224742
164,ACO1,0.00427248,0.06536421
165,ACO2,0.004891227,0.069937311
166,ACOT1,0.005321788,0.072950583
167,ACOT11,0.019071077,0.138098069
168,ACOT12,0.003621178,0.060176228
169,ACOT13,0.005337019,0.073054906
170,ACOT2,0.004554368,0.067486056
171,ACOT4,0.006739767,0.082096086
172,ACOT6,0.010995925,0.104861454
173,ACOT7,0.012570693,0.112119102
174,ACOT8,0.005031174,0.070930772
175,ACOT9,0.007549882,0.08689006
176,ACOX1,0.007106391,0.084299413
177,ACOX2,0.007570245,0.087007158
178,ACOX3,0.007972537,0.089289065
179,ACOXL,0.007773726,0.088168739
180,ACP1,0.003747471,0.061216588
181,ACP2,0.003302797,0.057469968
182,ACP5,0.004018243,0.063389616
183,ACP6,0.004912014,0.070085761
184,ACR,0.072605139,0.269453408
185,ACRBP,0.008048951,0.089715948
186,ACRV1,0.008058051,0.089766645
187,ACSBG1,0.009974434,0.099872087
188,ACSBG2,0.014676068,0.121144824
189,ACSF2,0.01511912,0.122959829
190,ACSF3,0.0036453,0.060376318
191,ACSL1,0.015111637,0.122929397
192,ACSL3,0.039810845,0.199526552
193,ACSL4,0.003259128,0.057088775
194,ACSL5,0.008051128,0.089728077
195,ACSL6,0.003764239,0.061353396
196,ACSM1,0.007144582,0.084525628
197,ACSM2A,0.002783411,0.052758045
198,ACSM2B,0.005451192,0.07383219
199,ACSM3,0.005570682,0.074637003
200,ACSM4,0.015621243,0.124984969
201,ACSM5,0.003918256,0.062595977
202,ACSS1,0.003043138,0.055164644
203,ACSS2,0.015124607,0.122982142
204,ACSS3,0.061140861,0.247266782
205,ACTA1,0.00912092,0.095503507
206,ACTA2,0.001826098,0.042732872
207,ACTB,0.007276341,0.085301474
208,ACTBL2,0.02541035,0.159406243
209,ACTC1,0.01054139,0.102671271
210,ACTG1,0.00863529,0.092926262
211,ACTG1P4,0.007946964,0.089145746
212,ACTG2,0.011639082,0.107884576
213,ACTL10,0.013908508,0.117934337
214,ACTL6A,0.003614052,0.060116989
215,ACTL6B,0.013362236,0.115595139
216,ACTL7A,0.011523642,0.107348227
217,ACTL7B,0.006616284,0.081340543
218,ACTL8,0.007667421,0.087563813
219,ACTL9,0.005844009,0.076446116
220,ACTN1,0.004256991,0.065245623
221,ACTN2,0.005224338,0.072279584
222,ACTN3,0.0046287,0.068034552
223,ACTN4,0.002383806,0.048824238
224,ACTR10,0.007345789,0.085707579
225,ACTR1A,0.003047552,0.055204636
226,ACTR1B,0.003362863,0.057990196
227,ACTR2,0.007587243,0.087104782
228,ACTR3,0.002653032,0.051507596
229,ACTR3B,0.003669943,0.060580058
230,ACTR3BP2,0.005529578,0.074361133
231,ACTR3BP5,0.013070105,0.114324559
232,ACTR3C,0.004295686,0.065541482
233,ACTR5,0.00543416,0.073716754
234,ACTR6,0.006552807,0.080949408
235,ACTR8,0.008418907,0.091754603
236,ACTRT1,0.024932175,0.157899255
237,ACTRT2,0.003567745,0.059730605
238,ACTRT3,0.006633913,0.081448837
239,ACVR1,0.005796273,0.076133261
240,ACVR1B,0.004672443,0.068355273
241,ACVR1C,0.007922252,0.089007032
242,ACVR2A,0.006190718,0.078681118
243,ACVR2B,0.009801568,0.099002866
244,ACVR2B-AS1,0.004601428,0.067833827
245,ACVRL1,0.002539221,0.050390682
246,ACY1,0.006057762,0.077831626
247,ACY3,0.003113324,0.055797166
248,ACYP1,0.00820468,0.090579689
249,ACYP2,0.005107415,0.071466178
250,ADA,0.002119149,0.04603422
251,ADAD1,0.006171365,0.078558033
252,ADAD2,0.004026727,0.0634565
253,ADAL,0.003130718,0.05595282
254,ADAM10,0.002609264,0.051080952
255,ADAM11,0.002792978,0.052848636
256,ADAM12,0.012954803,0.113819169
257,ADAM15,0.004393201,0.066281226
258,ADAM17,0.001740379,0.041717854
259,ADAM18,0.007915278,0.088967847
260,ADAM19,0.013138949,0.114625254
261,ADAM2,0.012597656,0.112239282
262,ADAM20,0.002880935,0.053674342
263,ADAM20P1,0.002865496,0.053530328
264,ADAM21,0.003049709,0.055224169
265,ADAM21P1,0.004604137,0.067853794
266,ADAM22,0.00692829,0.083236352
267,ADAM23,0.004476434,0.066906155
268,ADAM28,0.005545053,0.07446511
269,ADAM29,0.003124258,0.055895064
270,ADAM30,0.001773665,0.042114902
271,ADAM32,0.003738449,0.061142854
272,ADAM33,0.010492082,0.102430866
273,ADAM3A,0.002071986,0.045519068
274,ADAM5,0.001694772,0.041167615
275,ADAM6,0.003597867,0.059982225
276,ADAM7,0.003528672,0.059402623
277,ADAM8,0.004010945,0.063332025
278,ADAM9,0.002783562,0.052759469
279,ADAMDEC1,0.006446122,0.080287746
280,ADAMTS1,0.008458776,0.091971606
281,ADAMTS10,0.001930065,0.0439325
282,ADAMTS12,0.004533412,0.06733062
283,ADAMTS13,0.003994354,0.063200904
284,ADAMTS14,0.004553325,0.067478333
285,ADAMTS15,0.003243218,0.056949257
286,ADAMTS16,0.006334663,0.079590595
287,ADAMTS17,0.004518021,0.067216228
288,ADAMTS18,0.005302515,0.07281837
289,ADAMTS19,0.001959244,0.044263354
290,ADAMTS2,0.003813665,0.061754882
291,ADAMTS20,0.003771784,0.061414855
292,ADAMTS3,0.004007451,0.063304433
293,ADAMTS4,0.003817958,0.061789627
294,ADAMTS5,0.003198552,0.056555747
295,ADAMTS6,0.003753117,0.061262689
296,ADAMTS7,0.006704762,0.08188261
297,ADAMTS7P1,0.007580943,0.087068609
298,ADAMTS8,0.007802777,0.088333331
299,ADAMTS9,0.008852736,0.094088979
300,ADAMTS9-AS2,0.008217692,0.090651487
301,ADAMTSL1,0.010257526,0.101279445
302,ADAMTSL2,0.003470498,0.058910935
303,ADAMTSL3,0.005712258,0.075579478
304,ADAMTSL4,0.005235995,0.072360175
305,ADAMTSL4-AS1,0.002941366,0.054234366
306,ADAMTSL5,0.030482456,0.174592256
307,ADAP1,0.014625606,0.120936372
308,ADAP2,0.002201577,0.046920961
309,ADAR,0.026553259,0.162951706
310,ADARB1,0.002017814,0.044920088
311,ADARB2,0.015327869,0.12380577
312,ADARB2-AS1,0.0031178,0.055837266
313,ADAT1,0.005464928,0.073925154
314,ADAT2,0.020960811,0.144778491
315,ADAT3,0.006504922,0.0806531
316,ADCK1,0.007791423,0.08826904
317,ADCK2,0.004805799,0.069323872
318,ADCK5,0.005295679,0.072771417
319,ADCY1,0.016441916,0.128226035
320,ADCY10,0.010621456,0.103060446
321,ADCY10P1,0.007152017,0.084569596
322,ADCY2,0.004454834,0.066744544
323,ADCY3,0.002932349,0.054151172
324,ADCY4,0.004967264,0.070478819
325,ADCY5,0.006257991,0.079107464
326,ADCY6,0.019745846,0.140519912
327,ADCY7,0.008249949,0.090829227
328,ADCY8,0.018030679,0.134278362
329,ADCY9,0.009191642,0.095873053
330,ADCYAP1,0.006213837,0.078827897
331,ADCYAP1R1,0.005633036,0.075053554
332,ADD1,0.003662274,0.060516726
333,ADD2,0.005997559,0.077443911
334,ADD3,0.004573868,0.067630375
335,ADD3-AS1,0.009872806,0.099361997
336,ADGB,0.003522422,0.059349993
337,ADH1A,0.005292788,0.072751551
338,ADH1B,0.004481155,0.06694143
339,ADH1C,0.002917489,0.054013788
340,ADH4,0.008705215,0.093301742
341,ADH5,0.002406465,0.049055737
342,ADH6,0.002372993,0.048713372
343,ADH7,0.009004757,0.0948934
344,ADHFE1,0.004522117,0.06724669
345,ADI1,0.003575692,0.05979709
346,ADIG,0.003910305,0.062532433
347,ADIPOQ,0.005861988,0.076563622
348,ADIPOQ-AS1,0.006181502,0.078622527
349,ADIPOR1,0.003837314,0.061946058
350,ADIPOR2,0.021587459,0.146926714
351,ADIRF,0.004100541,0.064035465
352,ADK,0.008147994,0.090266241
353,ADM,0.016822255,0.129700634
354,ADM2,0.003699151,0.060820643
355,ADM5,0.002705485,0.052014279
356,ADNP,0.004662299,0.068281029
357,ADNP2,0.006207651,0.078788645
358,ADO,0.003539932,0.059497324
359,ADORA1,0.004753842,0.06894811
360,ADORA2A,0.003039037,0.055127465
361,ADORA2A-AS1,0.010430512,0.102129876
362,ADORA2B,0.003218258,0.056729694
363,ADORA3,0.004115861,0.064154976
364,ADPGK,0.004999038,0.070703874
365,ADPGK-AS1,0.043703012,0.209052654
366,ADPRH,0.009960109,0.099800345
367,ADPRHL1,0.009243767,0.096144513
368,ADPRM,0.005593204,0.074787726
369,ADRA1A,0.005047417,0.071045173
370,ADRA1B,0.003257093,0.057070951
371,ADRA1D,0.006391188,0.079944904
372,ADRA2A,0.002345871,0.048434193
373,ADRA2B,0.00312043,0.055860805
374,ADRA2C,0.005641483,0.075109809
375,ADRB1,0.00224482,0.04737953
376,ADRB2,0.00319472,0.056521855
377,ADRB3,0.009612257,0.098042117
378,ADRM1,0.005225564,0.072288065
379,ADSL,0.003014182,0.054901564
380,ADTRP,0.005450447,0.073827146
381,AEBP1,0.002441287,0.049409382
382,AEBP2,0.008192916,0.090514727
383,AEN,0.005958165,0.077189149
384,AFAP1,0.002054015,0.045321247
385,AFAP1-AS1,0.005582758,0.074717853
386,AFAP1L1,0.003079841,0.055496317
387,AFAP1L2,0.005290889,0.072738499
388,AFF1,0.018104806,0.134554102
389,AFF2,0.00619371,0.078700126
390,AFF3,0.011829404,0.108763061
391,AFF4,0.00471505,0.068666222
392,AFG3L1P,0.008264709,0.090910445
393,AFG3L2,0.020019761,0.141491205
394,AFM,0.005334192,0.073035553
395,AFMID,0.007317657,0.085543302
396,AFP,0.003343198,0.057820397
