,Unnamed: 0,Gene,variance,SD
288,288,ADAMTS18,0.005302515,0.07281837
290,290,ADAMTS2,0.003813665,0.061754882
291,291,ADAMTS20,0.003771784,0.061414855
292,292,ADAMTS3,0.004007451,0.063304433
293,293,ADAMTS4,0.003817958,0.061789627
294,294,ADAMTS5,0.003198552,0.056555747
295,295,ADAMTS6,0.003753117,0.061262689
302,302,ADAMTSL2,0.003470498,0.058910935
303,303,ADAMTSL3,0.005712258,0.075579478
304,304,ADAMTSL4,0.005235995,0.072360175
305,305,ADAMTSL4-AS1,0.002941366,0.054234366
312,312,ADARB2-AS1,0.0031178,0.055837266
313,313,ADAT1,0.005464928,0.073925154
315,315,ADAT3,0.006504922,0.0806531
317,317,ADCK2,0.004805799,0.069323872
318,318,ADCK5,0.005295679,0.072771417
322,322,ADCY2,0.004454834,0.066744544
323,323,ADCY3,0.002932349,0.054151172
324,324,ADCY4,0.004967264,0.070478819
325,325,ADCY5,0.006257991,0.079107464
330,330,ADCYAP1,0.006213837,0.078827897
331,331,ADCYAP1R1,0.005633036,0.075053554
332,332,ADD1,0.003662274,0.060516726
333,333,ADD2,0.005997559,0.077443911
334,334,ADD3,0.004573868,0.067630375
336,336,ADGB,0.003522422,0.059349993
337,337,ADH1A,0.005292788,0.072751551
338,338,ADH1B,0.004481155,0.06694143
339,339,ADH1C,0.002917489,0.054013788
344,344,ADHFE1,0.004522117,0.06724669
345,345,ADI1,0.003575692,0.05979709
346,346,ADIG,0.003910305,0.062532433
347,347,ADIPOQ,0.005861988,0.076563622
348,348,ADIPOQ-AS1,0.006181502,0.078622527
349,349,ADIPOR1,0.003837314,0.061946058
351,351,ADIRF,0.004100541,0.064035465
354,354,ADM2,0.003699151,0.060820643
356,356,ADNP,0.004662299,0.068281029
357,357,ADNP2,0.006207651,0.078788645
358,358,ADO,0.003539932,0.059497324
359,359,ADORA1,0.004753842,0.06894811
360,360,ADORA2A,0.003039037,0.055127465
362,362,ADORA2B,0.003218258,0.056729694
363,363,ADORA3,0.004115861,0.064154976
364,364,ADPGK,0.004999038,0.070703874
368,368,ADPRM,0.005593204,0.074787726
369,369,ADRA1A,0.005047417,0.071045173
370,370,ADRA1B,0.003257093,0.057070951
371,371,ADRA1D,0.006391188,0.079944904
373,373,ADRA2B,0.00312043,0.055860805
374,374,ADRA2C,0.005641483,0.075109809
376,376,ADRB2,0.00319472,0.056521855
378,378,ADRM1,0.005225564,0.072288065
379,379,ADSL,0.003014182,0.054901564
380,380,ADTRP,0.005450447,0.073827146
383,383,AEN,0.005958165,0.077189149
385,385,AFAP1-AS1,0.005582758,0.074717853
386,386,AFAP1L1,0.003079841,0.055496317
387,387,AFAP1L2,0.005290889,0.072738499
389,389,AFF2,0.00619371,0.078700126
391,391,AFF4,0.00471505,0.068666222
394,394,AFM,0.005334192,0.073035553
396,396,AFP,0.003343198,0.057820397
398,398,AGA,0.005917392,0.076924586
399,399,AGAP1,0.003439368,0.058646123
401,401,AGAP2,0.003277856,0.057252567
409,409,AGBL1-AS1,0.005374561,0.073311394
410,410,AGBL2,0.00616523,0.078518975
411,411,AGBL3,0.005896309,0.076787428
412,412,AGBL4,0.005045964,0.071034947
416,416,AGER,0.006384658,0.079904057
418,418,AGFG2,0.005052292,0.071079473
422,422,AGMAT,0.003897642,0.062431101
425,425,AGO2,0.004503527,0.067108323
426,426,AGO3,0.003981438,0.063098634
429,429,AGPAT2,0.004106194,0.064079594
430,430,AGPAT3,0.004267388,0.065325251
431,431,AGPAT4,0.004694159,0.068513931
436,436,AGR3,0.004737449,0.068829126
437,437,AGRN,0.00615163,0.078432325
439,439,AGT,0.00391661,0.062582829
440,440,AGTPBP1,0.003917623,0.062590921
445,445,AGXT2,0.005073756,0.0712303
447,447,AHCTF1P1,0.004540472,0.067383027
448,448,AHCY,0.005681881,0.075378251
450,450,AHCYL2,0.005339851,0.073074284
451,451,AHDC1,0.004532532,0.067324085
453,453,AHNAK,0.003473574,0.058937034
460,460,AICDA,0.005337189,0.07305607
463,463,AIF1L,0.005459156,0.073886101
465,465,AIFM2,0.006388064,0.079925364
466,466,AIFM3,0.004554692,0.067488457
468,468,AIM2,0.00505308,0.07108502
469,469,AIMP1,0.005396919,0.073463722
470,470,AIMP2,0.005185066,0.072007399
471,471,AIP,0.003099065,0.055669246
474,474,AIRN,0.005056764,0.071110925
476,476,AJUBA,0.00605575,0.077818701
477,477,AK1,0.003787504,0.061542699
478,478,AK2,0.005621927,0.074979511
480,480,AK4,0.004619293,0.06796538
481,481,AK5,0.004448505,0.066697114
487,487,AKAP10,0.005691044,0.075439008
488,488,AKAP11,0.006538299,0.080859747
490,490,AKAP13,0.005406974,0.073532131
491,491,AKAP14,0.006187351,0.07865972
492,492,AKAP17A,0.0065584,0.080983949
495,495,AKAP5,0.003785864,0.061529376
497,497,AKAP7,0.003451316,0.058747898
498,498,AKAP8,0.005914893,0.076908342
499,499,AKAP8L,0.005820136,0.076289814
501,501,AKIP1,0.003675419,0.060625231
502,502,AKIRIN1,0.004935608,0.070253886
504,504,AKNA,0.003835194,0.061928945
509,509,AKR1B15,0.003689921,0.060744722
513,513,AKR1C4,0.004818499,0.06941541
515,515,AKR1D1,0.003588868,0.059907158
518,518,AKR7A2P1,0.005510045,0.074229678
520,520,AKR7L,0.004385615,0.066223974
523,523,AKT2,0.006321645,0.079508776
526,526,ALAD,0.004495873,0.067051274
527,527,ALAS1,0.00526033,0.072528133
529,529,ALB,0.003302954,0.057471333
530,530,ALCAM,0.005351125,0.073151382
531,531,ALDH16A1,0.006324563,0.079527123
532,532,ALDH18A1,0.00500196,0.070724539
536,536,ALDH1B1,0.006483694,0.080521391
537,537,ALDH1L1,0.005588318,0.074755056
541,541,ALDH2,0.003661397,0.060509483
543,543,ALDH3A2,0.004592808,0.067770258
544,544,ALDH3B1,0.005907758,0.076861943
545,545,ALDH3B2,0.003619642,0.060163462
546,546,ALDH4A1,0.0041612,0.064507363
549,549,ALDH7A1,0.003374296,0.058088691
552,552,ALDOA,0.006494542,0.080588718
557,557,ALG10B,0.005455632,0.07386225
558,558,ALG11,0.003517441,0.059308019
559,559,ALG12,0.004703914,0.068585085
569,569,ALG8,0.00565839,0.07522227
570,570,ALG9,0.004907313,0.070052214
571,571,ALK,0.003889427,0.062365269
573,573,ALKBH2,0.004976962,0.070547583
577,577,ALKBH5,0.005825429,0.076324495
578,578,ALKBH6,0.003097156,0.0556521
579,579,ALKBH7,0.006406352,0.080039691
580,580,ALKBH8,0.006489047,0.080554622
581,581,ALLC,0.006272825,0.079201165
583,583,ALMS1-IT1,0.003091187,0.055598441
586,586,ALOX12P2,0.004490831,0.067013663
588,588,ALOX15B,0.004516039,0.06720148
589,589,ALOX15P1,0.005630785,0.075038559
590,590,ALOX5,0.005795179,0.076126072
591,591,ALOX5AP,0.005529951,0.074363641
592,592,ALOXE3,0.004213781,0.064913643
593,593,ALPI,0.005707985,0.075551211
594,594,ALPK1,0.005334221,0.07303575
597,597,ALPL,0.003724209,0.061026297
598,598,ALPP,0.00438585,0.066225749
601,601,ALX1,0.003744945,0.061195954
602,602,ALX3,0.004071926,0.063811647
603,603,ALX4,0.005829003,0.076347905
604,604,ALYREF,0.006453646,0.080334591
605,605,AMACR,0.003124137,0.055893979
608,608,AMBRA1,0.003543162,0.059524464
609,609,AMD1,0.003396984,0.058283655
610,610,AMDHD1,0.003706846,0.060883872
614,614,AMER1,0.004431217,0.066567389
616,616,AMER3,0.00364361,0.060362322
617,617,AMFR,0.003910061,0.06253048
618,618,AMH,0.00584172,0.076431144
621,621,AMIGO2,0.00347732,0.058968801
622,622,AMIGO3,0.004527181,0.067284327
623,623,AMMECR1,0.003828313,0.061873366
624,624,AMMECR1L,0.00457575,0.067644294
625,625,AMN,0.004443227,0.066657537
626,626,AMN1,0.0042754,0.065386545
628,628,AMOTL1,0.005273811,0.072621009
629,629,AMOTL2,0.003894867,0.062408872
634,634,AMT,0.006444948,0.080280435
640,640,AMY2B,0.003728042,0.061057692
643,643,AMZ2P1,0.004435076,0.066596365
645,645,ANAPC10,0.003844653,0.062005268
648,648,ANAPC15,0.00551602,0.074269916
650,650,ANAPC1P1,0.005737758,0.075747988
651,651,ANAPC2,0.006091226,0.078046309
655,655,ANG,0.003440496,0.058655739
657,657,ANGEL2,0.003398237,0.058294402
659,659,ANGPT2,0.003479376,0.058986236
662,662,ANGPTL2,0.003893259,0.062395987
663,663,ANGPTL3,0.003214984,0.056700829
665,665,ANGPTL5,0.005632425,0.075049483
666,666,ANGPTL6,0.006540056,0.080870613
669,669,ANK1,0.003118655,0.055844916
672,672,ANKAR,0.004061176,0.06372736
673,673,ANKDD1A,0.005201344,0.072120345
674,674,ANKDD1B,0.003881953,0.062305322
675,675,ANKEF1,0.00376865,0.061389328
678,678,ANKH,0.003767966,0.06138376
684,684,ANKLE2,0.006067138,0.077891838
685,685,ANKMY1,0.003494874,0.059117461
686,686,ANKMY2,0.003340839,0.057799994
687,687,ANKRA2,0.003282226,0.057290718
689,689,ANKRD10,0.006366053,0.079787547
690,690,ANKRD11,0.005063388,0.071157484
696,696,ANKRD16,0.00322925,0.056826486
697,697,ANKRD17,0.004080377,0.063877826
698,698,ANKRD18A,0.003327006,0.057680201
699,699,ANKRD18B,0.004338248,0.065865375
700,700,ANKRD18DP,0.003344041,0.05782768
701,701,ANKRD19P,0.004995008,0.070675369
705,705,ANKRD20A12P,0.005566243,0.074607259
709,709,ANKRD20A9P,0.005026369,0.070896889
711,711,ANKRD23,0.004555893,0.067497359
713,713,ANKRD26,0.003029362,0.055039644
715,715,ANKRD26P3,0.006256957,0.079100928
716,716,ANKRD27,0.003649358,0.060409917
721,721,ANKRD30BL,0.006062801,0.077863987
722,722,ANKRD30BP2,0.003328947,0.057697031
724,724,ANKRD31,0.004544327,0.06741162
725,725,ANKRD33,0.003372146,0.05807018
727,727,ANKRD34A,0.003993603,0.063194959
729,729,ANKRD34C,0.005038457,0.070982086
730,730,ANKRD35,0.003948863,0.062839976
732,732,ANKRD36B,0.003177221,0.056366841
734,734,ANKRD36BP2,0.003680587,0.060667845
735,735,ANKRD37,0.00353799,0.059481006
736,736,ANKRD39,0.004923571,0.070168159
737,737,ANKRD40,0.004163577,0.064525788
739,739,ANKRD44,0.003944002,0.062801292
740,740,ANKRD44-IT1,0.006131924,0.078306602
741,741,ANKRD45,0.003339735,0.057790443
743,743,ANKRD49,0.005533551,0.074387845
745,745,ANKRD52,0.003678001,0.060646528
751,751,ANKRD62,0.003689913,0.060744656
752,752,ANKRD62P1-PARP4P3,0.004284944,0.065459487
753,753,ANKRD63,0.003919091,0.06260264
755,755,ANKRD66,0.006014804,0.077555166
756,756,ANKRD7,0.004304092,0.065605578
760,760,ANKS3,0.005304902,0.072834755
762,762,ANKS6,0.006153871,0.07844661
772,772,ANO6,0.004930417,0.070216931
773,773,ANO7,0.004567211,0.067581144
774,774,ANO8,0.004667076,0.068315998
775,775,ANO9,0.003497849,0.059142619
777,777,ANP32A-IT1,0.005718871,0.075623217
780,780,ANP32C,0.005600361,0.074835559
782,782,ANP32E,0.004252394,0.065210386
783,783,ANPEP,0.003605684,0.06004735
785,785,ANTXR2,0.00489186,0.069941832
788,788,ANXA1,0.005243421,0.07241147
791,791,ANXA13,0.006371984,0.079824707
793,793,ANXA2P1,0.006292233,0.079323599
795,795,ANXA2P3,0.004966107,0.070470609
796,796,ANXA2R,0.004945505,0.070324284
797,797,ANXA3,0.006499149,0.0806173
798,798,ANXA4,0.004383284,0.066206371
799,799,ANXA5,0.00324251,0.056943045
800,800,ANXA6,0.003366616,0.058022551
801,801,ANXA7,0.006131535,0.078304117
805,805,AOAH,0.0061915,0.078686086
809,809,AOC3,0.004776242,0.069110361
810,810,AOC4P,0.00322246,0.056766714
814,814,AP1B1P1,0.003308813,0.057522285
815,815,AP1G1,0.003244203,0.056957907
821,821,AP1S3,0.005378835,0.073340538
823,823,AP2A2,0.004035099,0.063522433
824,824,AP2B1,0.005950815,0.077141527
825,825,AP2M1,0.004395483,0.066298441
826,826,AP2S1,0.004243865,0.065144954
827,827,AP3B1,0.003294912,0.057401326
828,828,AP3B2,0.004299017,0.065566892
830,830,AP3M1,0.004430987,0.066565663
831,831,AP3M2,0.003852508,0.062068573
832,832,AP3S1,0.004075298,0.06383806
833,833,AP3S2,0.003195342,0.056527353
834,834,AP4B1,0.003038692,0.055124331
835,835,AP4B1-AS1,0.003610041,0.060083618
836,836,AP4E1,0.005844877,0.076451793
