,Gene,variance,SD
5609,FANCB,0.050984812,0.225798165
5610,FANCC,0.052161065,0.22838797
5611,FANCD2,0.050883514,0.225573744
5612,FANCD2OS,0.063711265,0.252410904
5613,FANCE,0.010228201,0.101134568
5614,FANCF,0.03434833,0.185333025
5615,FANCG,0.057640731,0.240084841
5616,FANCI,0.109726053,0.331249231
5617,FANCL,0.044980397,0.212085825
5618,FANCM,0.032593186,0.180535829
5619,FANK1,0.041759119,0.204350481
5620,FANK1-AS1,0.053999205,0.23237729
5621,FAP,0.064574051,0.254114248
5622,FAR1,0.163899824,0.404845432
5623,FAR2,0.097116811,0.311635702
5624,FAR2P1,0.030583054,0.174880113
5625,FAR2P2,0.031869634,0.178520682
5626,FARP1,0.095612667,0.30921298
5627,FARP2,0.049328448,0.222100085
5628,FARS2,0.09003499,0.300058311
5629,FARSA,0.053244772,0.230748287
5630,FARSB,0.091430613,0.302374954
5631,FAS,0.048652469,0.220573046
5632,FAS-AS1,0.034601866,0.186015768
5633,FASLG,0.18144296,0.425961218
5634,FASN,0.063917081,0.252818278
5635,FASTK,0.065686027,0.256292855
5636,FASTKD1,0.046751842,0.216221743
5637,FASTKD2,0.025246562,0.158891666
5638,FASTKD3,0.082190323,0.286688546
5639,FASTKD5,0.0259413,0.161063032
5640,FAT1,0.054314146,0.233053954
5641,FAT2,0.054314146,0.233053954
5642,FAT3,0.056674219,0.238063476
5643,FAT4,0.031925655,0.178677518
5644,FATE1,0.047469428,0.2178748
5645,FAU,0.027119127,0.164678861
5646,FAXC,0.110554516,0.332497393
5647,FAXDC2,0.053668105,0.231663775
5648,FBF1,0.021595743,0.1469549
5649,FBL,0.034483872,0.185698336
5650,FBLIM1,0.05046329,0.224640356
5651,FBLL1,0.136466643,0.369413918
5652,FBLN1,0.011721399,0.108265409
5653,FBLN2,0.074505223,0.272956448
5654,FBLN5,0.053462133,0.231218799
5655,FBLN7,0.036708003,0.191593328
5656,FBN1,0.038062218,0.195095407
5657,FBN2,0.031502274,0.1774888
5658,FBN3,0.088256942,0.2970807
5659,FBP1,0.027383932,0.165480911
5660,FBP2,0.050743156,0.225262417
5661,FBRS,0.099637498,0.315654079
5662,FBRSL1,0.0369698,0.192275325
5663,FBXL12,0.054333698,0.233095899
5664,FBXL13,0.045123264,0.212422371
5665,FBXL14,0.041358728,0.203368453
5666,FBXL15,0.025462014,0.159568211
5667,FBXL16,0.054374619,0.23318366
5668,FBXL17,0.042903125,0.207130697
5669,FBXL18,0.022081101,0.148597109
5670,FBXL19,0.025095884,0.158416803
5671,FBXL19-AS1,0.00252718,0.050271069
5672,FBXL2,0.102285863,0.319821611
5673,FBXL20,0.040264166,0.200659327
5674,FBXL22,0.04385412,0.209413753
5675,FBXL3,0.012191959,0.110417203
5676,FBXL4,0.013385174,0.115694312
5677,FBXL5,0.023708502,0.153975654
5678,FBXL6,0.086228324,0.293646598
5679,FBXL7,0.04350065,0.208568095
5680,FBXL8,0.020510374,0.143214434
5681,FBXO10,0.053451882,0.231196631
5682,FBXO11,0.027070797,0.164532056
5683,FBXO15,0.185995199,0.431271607
5684,FBXO16,0.065396525,0.255727442
5685,FBXO17,0.049293595,0.222021608
5686,FBXO2,0.013708656,0.117083968
5687,FBXO21,0.058131595,0.241104946
5688,FBXO22,0.085989695,0.293239995
5689,FBXO24,0.02608706,0.161514891
5690,FBXO25,0.024119589,0.155304826
5691,FBXO27,0.026306031,0.162191341
5692,FBXO28,0.047583401,0.218136198
5693,FBXO3,0.040666995,0.201660594
5694,FBXO30,0.010659135,0.103243087
5695,FBXO31,0.030572094,0.174848775
5696,FBXO32,0.024226219,0.155647739
5697,FBXO33,0.020778024,0.144145844
5698,FBXO34,0.058214532,0.241276879
5699,FBXO36,0.015693107,0.125272131
5700,FBXO38,0.02199365,0.148302564
5701,FBXO39,0.021269406,0.145840344
